"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Розничная;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;Размер;Модель;Рост;Сезон;"Тип ткани";;"обхват груди";"обхват талии";"обхват бедер";"обхват рукава";"Измерения (см)";Платье;"Ширина на уровне груди";"Ширина на уровне талии";"Ширина на уровне бедер";"Длина спинки";"Длина рукава";"Ширина рукава на уровне глубины оката";"Ширина рукава по низу";"Длина спинки до талии - гипюр";Блузка;"Ширина на уровнн глубины проймы";"Ширина рукава н уровне глубины оката";"Длина рукава с манжетой";Брюки;"Ширина по линии талии";"Ширина по линии бедер";"Длина по боковому шву";"Ширина на уровне колена";"Ширина внизу";"Ширина на уровне глубины проймы";"Длина по боковому шву с поясом";Юбка
"Платья и Сарафаны";;;;01119555151;"Платье Lenata 11548 леопард";999;1290;RUB;"В наличии";"Лёгкое платье из шифона с модным принтом сделает Вас необычайно эффектной и нарядной. Платье имеет асимметричный низ, декоративное украшение по горловине в виде медальона ""под золото"", рукав чуть-расширенный к низу. Длина платья ― 115 см.&nbsp;<br>";https://pawlina.ru/image/catalog/main/lenata16/11548-1.jpg;;;"LeNata (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lenata-11548-leopard;01119555151;"50;52";"Лената 11548 леопард";"164-170 см (рост модели на фото 170см)";весна-лето;"шифон, пэ 100%";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;02113753264;"Платье Lady Line 287 (288)";799;990;RUB;"В наличии";"Легкое платье&nbsp; украсит Ваш отдых и привлечет восторженные взгляды противоположного пола.
Длина платья по спинке 113см.";https://pawlina.ru/image/catalog/main/lady_line/288-1_2.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-287-288;02113753264;"44;46";"Леди Лайн 287 (288)";"164-170 см (рост модели на фото 170см)";весна-лето;"58% Полиэстер, 38% Вискоза, 4% Спандекс";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;070531465;"Платье Lady Line 287 зеленый";799;990;RUB;"В наличии";"Легкое шифоновое платье украсит Ваш отдых и привлечет восторженные взгляды противоположного пола.
Длина платья по спинке 114см.<br>";https://pawlina.ru/image/catalog/main/lady_line/287-1zeleno-krasn.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-287-zelenij;070531465;"44;46";"Леди Лайн 287 зеленый";"164-170 см (рост модели на фото 170см)";весна-лето;"100% полиэстр, шифон";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1825147769;"Платье Lady Line 287 красный";799;990;RUB;"В наличии";"Легкое шифоновое платье украсит Ваш отдых и привлечет восторженные взгляды противоположного пола.
Длина платья по спинке 114см.<br>";https://pawlina.ru/image/catalog/main/lady_line/287-1_sine-krasn.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-287;1825147769;"44;46";"Леди Лайн 287 красный";"164-170 см (рост модели на фото 170см)";весна-лето;"100% полиэстр, шифон";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;526071856;"Платье Michel Chic 462 розовый";799;990;RUB;"В наличии";"Сарафан прекрасно будет смотреться и знойным днем на родине, и под палящим солнцем на курорте. Лиф выполнен из нежного масла ""венеция"", очень приятного на ощупь. Мы предусмотрели отсутствие бюстгальтера, установив чашечки универсальной формы, которые будут поддерживать грудь и подчеркивать объем. шифон на юбке принтован мелкой разноцветной полосочкой, а низ украшен настроченными цветами.";https://pawlina.ru/image/catalog/main/mishel/m462korall.jpg;;;"Michel Chic (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-michel-chic-462-rozoviy;526071856;46;"Мишель Шик 462";"164 см (девушка на фото ростом 170см)";весна-лето;"шифон, масло ""венеция""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;04781799;"Платье Bazalini 4039 т.зеленый";2199;3090;RUB;"В наличии";"Элегантное платье расширенное книзу из трикотажного полотна;  отрезное по линии талии и сосборенное на и на резинку. перед v-образным вырезом горловины со сборкой по плечевым швам. Спинка со сборкой и по плечевым швам. Рукава покроя реглан-погон с разрезами в верхнем шве и сборкой по низу, притачными широкими манжетами с застежкой на петли и пуговицы. Платье дополняется поясом с пряжкой из основной ткани";https://pawlina.ru/image/catalog/brands/bazalini2023/4039zelenyj.jpg;;;"Bazalini (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-bazalini-4039-tzelenij;04781799;44;"Базалини 4039 т.зеленый";"170 см (девушка на фото ростом 170см)";Круглогодичный;"67% полиэстер, 30% вискоза, 3% эластан";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;555035795;"Платье Solei 3816 черный";1799;2590;RUB;"В наличии";"Платье-миди интересного кроя полуприлегающего силуэта, отрезное по линии талии и лифом на запах. Перед с V-образным вырезом горловины и косыми нагрудными вытачками в верхней части, вертикальным швом с разрезом и складкой по нижней части. В среднем шве спинки обработана потайная молния. Рукава втачные одношовные со встречными складками по низу и притачными манжетами.
Длина платья в 44р - 111см, рукав - 48см.<br>Длина платья в 52р - 112см, рукав - 48см.&nbsp;";https://pawlina.ru/image/catalog/brands/bazalini2023/3816chernyj.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-3816-chernij;555035795;50;"Солеи 3816 черный";"170 см (девушка на фото ростом 170см)";Круглогодичный;"65% полиэстер, 32% вискоза, 3% эластан";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;0902150061;"Платье Solei 4631 шоколад";1999;2890;RUB;"В наличии";"Красивое платье-миди Х-образного силуэта отрезное по линии талии и собранное на эластичную тесьму. Данная модель станет идеальной основой романтического образа благодаря: бантовой складке в верхней части переда, красивой застёжке на декоративные пуговицы на спинке, нежной драпировке, переходящей в мягкие складки, а также аккуратным втачным рукавам со сборной в верхней части оката и по низу, и манжетам с декоративными пуговицами. Линию талии дополнительно подчёркивает контрастный пояс-ремень с пряжкой.
Длина платья в 44р - 109см, рукав - 61см.<br>Длина платья в 52р - 112см, рукав - 62см.";https://pawlina.ru/image/catalog/brands/bazalini2023/4631shokolad.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4631-shokolad;0902150061;50;"Солеи 4631 шоколад";"170 см (девушка на фото ростом 170см)";Круглогодичный;"65% полиэстер, 32% вискоза, 3% эластан";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;330049207;"Платье Solei 4523 шоколад";1799;2590;RUB;"В наличии";"Комфортное платье-рубашка с воротником «мандарин» . Перед с застёжкой на потайную молнию и одну отделочную пуговицу и с двумя накладными фигурными карманами с отделочными пуговицами. Платье со спущенной линией плеча с длинными притачными рукавами и манжетами с застёжкой на петли-пуговицы. Лёгкость модели придают разрезы в боковых швах. Ярким акцентом платья является интересный пояс из основной ткани, который помогает создать приталенный силуэт. Платье будет одинаково гармонично смотреться и с обувью на шпильке, и без каблука.
Длина платья в 46р - 98см, длина рукава ото шва - 53см.<br>Длина платья в 52р - 103см, длина рукава ото шва - 54см.&nbsp;";https://pawlina.ru/image/catalog/brands/bazalini2023/4523shokolad.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4523-shokolad;330049207;50;"Солеи 4523 шоколад";"170 см (девушка на фото ростом 170см)";Круглогодичный;"65% полиэстер, 32% вискоза, 3% эластан";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1589398548;"Платье Solei 4504 черный";1799;2590;RUB;"В наличии";"Оригинальное платье полуприлегающего силуэта, с интересными решениями кроя – отлично подойдет для делового образа. По переду платье отрезное по талии, верхняя часть платья с имитацией запаха и V-образным вырезом горловины, который способен зрительно поиграть с длиной шеи, нижняя часть со складкой, которая придаёт больше динамичности при движении. В среднем шве спинки обработана шлица. Взгляд к платью также  приковывают воротник-апаш фигурной формы и укороченные втачные рукава с манжетами и отделочными пуговицами. Линию талии красиво подчёркивает пояс-ремень из основной ткани.
Длина платья в 50р - 102см, рукав - 49см.<br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4504chernyj.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4504-chernij;1589398548;50;"Солеи 4504 черный";"170 см (девушка на фото ростом 170см)";Круглогодичный;"65% полиэстер, 32% вискоза, 3% эластан";;;;;;;;;;;;;;;;;;;;;;;;;;;;
